contigName	contigLen	totalAvgDepth	sample_small.sorted	sample_small.sorted-var
NODE_1_length_136129_cov_7.570072	136129	12.5833	12.5833	19.2531
NODE_2_length_103021_cov_5.613727	103021	9.62148	9.62148	13.0373
NODE_3_length_99909_cov_7.098564	99909	11.879	11.879	17.1871
NODE_4_length_81581_cov_7.350637	81581	12.4411	12.4411	19.3606
NODE_5_length_78156_cov_6.813127	78156	11.3684	11.3684	19.1672
NODE_6_length_76672_cov_5.763160	76672	9.62828	9.62828	16.3634
NODE_7_length_74509_cov_6.316612	74509	10.6364	10.6364	15.5975
NODE_8_length_73659_cov_7.130414	73659	11.9883	11.9883	18.8531
NODE_9_length_60080_cov_6.094527	60080	10.1958	10.1958	15.4169
NODE_10_length_58876_cov_5.990769	58876	10.0083	10.0083	15.2279
NODE_11_length_58292_cov_5.946168	58292	10.1194	10.1194	15.4433
NODE_12_length_57079_cov_6.875368	57079	11.5476	11.5476	20.684
NODE_13_length_52022_cov_7.203571	52022	11.9702	11.9702	21.9984
NODE_14_length_51767_cov_7.473584	51767	12.4861	12.4861	20.4874
NODE_15_length_50740_cov_12.367130	50740	20.4927	20.4927	40.3138
NODE_16_length_50150_cov_7.318455	50150	12.2982	12.2982	18.4187
NODE_17_length_49334_cov_6.042290	49334	10.2348	10.2348	14.7044
NODE_18_length_48038_cov_6.733697	48038	11.3905	11.3905	17.5687
NODE_19_length_46999_cov_5.473692	46999	9.24856	9.24856	11.2254
NODE_20_length_46139_cov_6.803294	46139	11.4325	11.4325	15.283
NODE_21_length_45846_cov_6.256819	45846	10.5209	10.5209	14.5004
NODE_22_length_45689_cov_6.165250	45689	10.4082	10.4082	14.6071
NODE_23_length_44450_cov_6.060750	44450	10.2272	10.2272	16.6931
NODE_24_length_43471_cov_5.675281	43471	9.76718	9.76718	15.7366
NODE_25_length_41447_cov_6.021792	41447	10.1512	10.1512	15.3698
NODE_26_length_41070_cov_6.677703	41070	11.295	11.295	19.0164
NODE_27_length_40158_cov_6.387278	40158	11.0133	11.0133	16.5079
NODE_28_length_39908_cov_6.928638	39908	11.7051	11.7051	19.8042
NODE_29_length_39436_cov_7.685584	39436	12.6833	12.6833	21.6189
NODE_30_length_39362_cov_5.805658	39362	9.83829	9.83829	15.0325
NODE_31_length_39260_cov_13.120979	39260	21.6324	21.6324	40.2198
NODE_32_length_37777_cov_7.198081	37777	12.0502	12.0502	17.423
NODE_33_length_37335_cov_7.129828	37335	12.0556	12.0556	21.4827
NODE_34_length_37246_cov_6.920196	37246	10.6456	10.6456	18.7101
NODE_35_length_35271_cov_6.624915	35271	11.1612	11.1612	17.387
NODE_36_length_34752_cov_7.275471	34752	12.2434	12.2434	20.1575
NODE_37_length_33480_cov_13.248048	33480	21.9603	21.9603	47.2216
NODE_38_length_33404_cov_15.702720	33404	24.9117	24.9117	80.8018
NODE_39_length_32522_cov_7.602981	32522	12.6303	12.6303	26.5467
NODE_40_length_31675_cov_5.560531	31675	9.45358	9.45358	12.3112
NODE_41_length_31294_cov_7.128109	31294	11.7439	11.7439	35.4593
NODE_42_length_31180_cov_5.556562	31180	9.44102	9.44102	11.9396
NODE_43_length_30965_cov_5.896506	30965	9.91374	9.91374	14.2453
NODE_44_length_30068_cov_5.858528	30068	9.73885	9.73885	13.2684
NODE_45_length_29683_cov_6.099838	29683	10.1476	10.1476	15.4369
NODE_46_length_29539_cov_6.328924	29539	10.6008	10.6008	19.5014
NODE_47_length_29343_cov_12.922118	29343	20.845	20.845	41.4247
NODE_48_length_28767_cov_12.714475	28767	20.7738	20.7738	37.4497
NODE_49_length_28666_cov_4.879697	28666	8.35036	8.35036	10.5456
NODE_50_length_28484_cov_7.908403	28484	13.1868	13.1868	20.7664
NODE_51_length_28467_cov_6.259996	28467	10.5034	10.5034	16.2232
NODE_52_length_28280_cov_5.917697	28280	9.83605	9.83605	15.737
NODE_53_length_28080_cov_8.548153	28080	13.1288	13.1288	17.6225
NODE_54_length_27874_cov_5.420792	27874	9.22648	9.22648	12.408
NODE_55_length_27548_cov_12.546248	27548	20.6603	20.6603	40.7617
NODE_56_length_27425_cov_6.971063	27425	11.7096	11.7096	18.0118
NODE_57_length_27425_cov_6.335075	27425	10.4834	10.4834	15.4868
NODE_58_length_26988_cov_12.134222	26988	19.4108	19.4108	35.3659
NODE_59_length_26756_cov_13.972847	26756	23.0225	23.0225	45.6047
NODE_60_length_26723_cov_16.080546	26723	26.6235	26.6235	44.4266
NODE_61_length_26611_cov_9.246837	26611	11.5914	11.5914	15.1093
NODE_62_length_26222_cov_8.062254	26222	13.4125	13.4125	19.1193
NODE_63_length_26170_cov_14.219835	26170	23.297	23.297	52.1199
NODE_64_length_25018_cov_5.846893	25018	9.87876	9.87876	16.2166
NODE_65_length_24630_cov_5.546897	24630	9.52279	9.52279	15.6628
NODE_66_length_23912_cov_7.042713	23912	11.9875	11.9875	21.0437
